발생_순번,발생_일시,항목_코드,경보 단계,지역명,권역명,발령일자,발령시간,발령농도,해제일자,해제시간,해제농도
35,2022-01-09,PM25,주의보,대전,동부권역,2022-01-09,21:00,77,2022-01-11,01:00,28
34,2022-01-09,PM25,주의보,충남,동남부권역,2022-01-09,20:00,78,2022-01-11,00:00,30
33,2022-01-09,PM25,주의보,충북,북부권역,2022-01-09,20:00,78,2022-01-11,04:00,30
32,2022-01-09,PM25,주의보,세종,세종권역,2022-01-09,18:00,80,2022-01-11,00:00,29
31,2022-01-09,PM25,주의보,전북,서부권역,2022-01-09,13:00,79,2022-01-10,22:00,32
29,2022-01-09,PM25,주의보,충북,중부권역,2022-01-09,13:00,90,2022-01-11,01:00,33
28,2022-01-09,PM25,주의보,강원,영서남부,2022-01-09,13:00,75,2022-01-11,05:00,33
27,2022-01-09,PM25,주의보,강원,영서북부,2022-01-09,11:00,83,2022-01-11,05:00,30
26,2022-01-09,PM25,주의보,경기,남부권,2022-01-09,05:00,84,2022-01-11,05:00,31
25,2022-01-09,PM25,주의보,경기,동부권,2022-01-09,02:00,80,2022-01-10,22:00,33
24,2022-01-09,PM25,주의보,경기,중부권,2022-01-09,01:00,84,2022-01-10,22:00,32
15,2022-01-09,PM25,주의보,충남,서부권역,2022-01-09,04:00,86,2022-01-10,20:00,32
14,2022-01-09,PM25,주의보,충남,북부권역,2022-01-09,04:00,81,2022-01-10,23:00,28
11,2022-01-08,PM25,주의보,인천,동남부권역,2022-01-09,00:00,83,2022-01-10,20:00,27
5,2022-01-08,PM25,주의보,인천,강화권역,2022-01-08,23:00,86,2022-01-11,02:00,33
4,2022-01-08,PM25,주의보,인천,서부권역,2022-01-08,23:00,82,2022-01-10,22:00,32
3,2022-01-08,PM25,주의보,인천,영종·영흥권역,2022-01-08,22:00,81,2022-01-10,19:00,33
2,2022-01-08,PM25,주의보,경기,북부권,2022-01-08,22:00,81,2022-01-11,03:00,30
1,2022-01-08,PM25,주의보,서울,서울권역,2022-01-08,22:00,82,2022-01-10,21:00,23
